	HoiH23|peptidergic_alpha	HoiH23|peptidergic_beta	HoiH23|peptidergic_epsilon	HoiH23|peptidergic_eta	HoiH23|peptidergic_gamma	HoiH23|peptidergic_gamma_like	HoiH23|peptidergic_iota	HoiH23|peptidergic_kappa	HoiH23|peptidergic_lambda	HoiH23|peptidergic_mu	HoiH23|peptidergic_mu_like	HoiH23|peptidergic_nu	HoiH23|peptidergic_progenitors	HoiH23|peptidergic_theta	HoiH23|peptidergic_zeta	HoiH23|peptidergic_zeta_like
HoiH23|peptidergic_alpha	0.9999999999999203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013552719075226327	0.0	0.0	0.018215736370189774	0.0	0.0	0.0
HoiH23|peptidergic_beta	0.0	0.9999999999999628	0.0014653853458366317	0.0	0.0003844418989570887	0.0	0.0	0.0	0.0	0.0	0.0	0.0017372101104524062	0.0	0.0	0.0	0.006756628535209304
HoiH23|peptidergic_epsilon	0.0	0.0014653853458366317	1.0000000000000446	0.10347772126535201	0.0	0.0	0.0	0.0	0.04419649600883316	0.0	0.03375632225129171	0.004605167483648562	0.0	0.0	8.437208422852881e-05	0.055899482998306105
HoiH23|peptidergic_eta	0.0	0.0	0.10347772126535201	0.9999999999998971	0.0	0.0	0.013831661971457732	0.015345446922234943	0.008402645605551838	0.0	0.0	0.0	0.0	0.0	0.0	0.45498272379870724
HoiH23|peptidergic_gamma	0.0	0.0003844418989570887	0.0	0.0	0.9999999999999071	0.0	0.0	0.0	0.0006213029577275643	0.05234097844472137	0.021795929028571213	0.0	0.0	0.0	0.0	0.0
HoiH23|peptidergic_gamma_like	0.0	0.0	0.0	0.0	0.0	1.0000000000000582	0.0	0.0026226361808644794	0.0	0.0	8.585748227110601e-05	0.00027658277994235234	0.0	0.0	0.0	0.0
HoiH23|peptidergic_iota	0.0	0.0	0.0	0.013831661971457732	0.0	0.0	1.0000000000000264	0.001954961088842205	0.0	0.0	0.0	0.0	0.0	0.18860365199764434	0.0	0.08096619191544104
HoiH23|peptidergic_kappa	0.0	0.0	0.0	0.015345446922234943	0.0	0.0026226361808644794	0.001954961088842205	1.0000000000001155	0.0	0.0	0.0	0.0	0.02767271922610827	0.022277033418786688	0.0	0.0
HoiH23|peptidergic_lambda	0.0	0.0	0.04419649600883316	0.008402645605551838	0.0006213029577275643	0.0	0.0	0.0	0.9999999999999882	0.0	0.0	0.0	0.0006401749198122177	0.0	0.0	0.0345662460022972
HoiH23|peptidergic_mu	0.0013552719075226327	0.0	0.0	0.0	0.05234097844472137	0.0	0.0	0.0	0.0	0.9999999999999948	0.10600205518272876	0.005749611046487004	0.0066613923876147054	0.008942505689284353	0.004779661516991639	0.0
HoiH23|peptidergic_mu_like	0.0	0.0	0.03375632225129171	0.0	0.021795929028571213	8.585748227110601e-05	0.0	0.0	0.0	0.10600205518272876	0.9999999999999714	0.04798503807008283	0.0	0.0	0.0	0.0
HoiH23|peptidergic_nu	0.0	0.0017372101104524062	0.004605167483648562	0.0	0.0	0.00027658277994235234	0.0	0.0	0.0	0.005749611046487004	0.04798503807008283	0.9999999999999774	0.0	0.0	0.0	0.012683231405182028
HoiH23|peptidergic_progenitors	0.018215736370189774	0.0	0.0	0.0	0.0	0.0	0.0	0.02767271922610827	0.0006401749198122177	0.0066613923876147054	0.0	0.0	0.9999999999999167	0.0	0.0	0.0
HoiH23|peptidergic_theta	0.0	0.0	0.0	0.0	0.0	0.0	0.18860365199764434	0.022277033418786688	0.0	0.008942505689284353	0.0	0.0	0.0	1.0000000000000806	0.0013598709656603414	0.09169798929000642
HoiH23|peptidergic_zeta	0.0	0.0	8.437208422852881e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.004779661516991639	0.0	0.0	0.0	0.0013598709656603414	1.0000000000000866	0.024478764435243588
HoiH23|peptidergic_zeta_like	0.0	0.006756628535209304	0.055899482998306105	0.45498272379870724	0.0	0.0	0.08096619191544104	0.0	0.0345662460022972	0.0	0.0	0.012683231405182028	0.0	0.09169798929000642	0.024478764435243588	1.0000000000000335
